id,status,statusLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt
01HVSCMV1ZKTBZGHQ2VRDNTDRW,ended,2024-04-18T20:23:57.050300676Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T19:58:56.063566265Z,true,2024-04-18T19:58:56.081895096Z,all games finished,2024-04-18T20:23:57.050300676Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T19:58:56.063566265Z
01HVSCN9S5W9JZ9NR7JBA94P2Y,ended,2024-04-18T21:10:31.844111817Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T19:59:11.14109882Z,true,2024-04-18T19:59:11.15431432Z,all games finished,2024-04-18T21:10:31.844111817Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-18T19:59:11.14109882Z
01HVSCNKQ50XAFP1EQFPDPGM3R,terminated,2024-04-18T21:02:40.960621988Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T19:59:21.317743811Z,true,2024-04-18T19:59:21.327792534Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-18T19:59:21.317743811Z
01HVSCNV71TQBAPHZYE0EYXYWN,terminated,2024-04-18T20:45:00.490008119Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T19:59:28.993639433Z,true,2024-04-18T19:59:29.004572752Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T19:59:28.993639433Z
01HVSCP1JKZ3MHRVMAXS9X2KB9,terminated,2024-04-18T20:45:07.800775587Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T19:59:35.507588712Z,true,2024-04-18T19:59:35.518995284Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-18T19:59:35.507588712Z
01HVSCPA6RDJN4F2Z743QW8KVG,terminated,2024-04-18T20:49:53.218621375Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T19:59:44.34492873Z,true,2024-04-18T19:59:44.358311682Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T19:59:44.34492873Z
01HVSD1G75Z7R1XV801N2EYCVF,ended,2024-04-18T20:31:59.20016383Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:50.949386232Z,true,2024-04-18T20:05:50.960432186Z,all games finished,2024-04-18T20:31:59.20016383Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:50.949386232Z
01HVSD1H9Z2PZ0B3JXQJ3PNKEV,ended,2024-04-18T20:31:25.759053745Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:52.063949935Z,true,2024-04-18T20:05:52.072697453Z,all games finished,2024-04-18T20:31:25.759053745Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:52.063949935Z
01HVSD1J1C9YS9RAYF54ZXNR5N,ended,2024-04-18T20:32:54.011555723Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:52.812076026Z,true,2024-04-18T20:05:52.823621728Z,all games finished,2024-04-18T20:32:54.011555723Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:52.812076026Z
01HVSD1JRJS8330QVK2ENAZB1E,ended,2024-04-18T20:34:43.394623789Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:53.554944998Z,true,2024-04-18T20:05:53.565116185Z,all games finished,2024-04-18T20:34:43.394623789Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:53.554944998Z
01HVSD1KEKWDP630QKEVSQYHB5,ended,2024-04-18T20:37:30.389336851Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:54.259591278Z,true,2024-04-18T20:05:54.266742479Z,all games finished,2024-04-18T20:37:30.389336851Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:54.259591278Z
01HVSD1M8P8DJECNV3N9HPM0R6,ended,2024-04-18T20:37:46.766079691Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:55.094887652Z,true,2024-04-18T20:05:55.103821528Z,all games finished,2024-04-18T20:37:46.766079691Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:55.094887652Z
01HVSD1MZ0HEF4B2BY5CW30BDH,ended,2024-04-18T20:37:59.088053472Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:55.808743125Z,true,2024-04-18T20:05:55.817452158Z,all games finished,2024-04-18T20:37:59.088053472Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:55.808743125Z
01HVSD1NQYVSEXZ7GDSHDDVGCK,ended,2024-04-18T20:40:07.347351895Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:56.606345609Z,true,2024-04-18T20:05:56.615853885Z,all games finished,2024-04-18T20:40:07.347351895Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:56.606345609Z
01HVSD1PG6R4T299NFASZ5MHSM,ended,2024-04-18T20:39:30.587056488Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:57.382171377Z,true,2024-04-18T20:05:57.38964759Z,all games finished,2024-04-18T20:39:30.587056488Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:57.382171377Z
01HVSD1Q6F3X9BDR1MTKHY4SX3,ended,2024-04-18T20:41:34.560880809Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:58.095921876Z,true,2024-04-18T20:05:58.106849049Z,all games finished,2024-04-18T20:41:34.560880809Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:58.095921876Z
01HVSD1QW5QQK1X0H1V6QHQ76Z,ended,2024-04-18T20:42:14.279807899Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:58.78926081Z,true,2024-04-18T20:05:58.798682676Z,all games finished,2024-04-18T20:42:14.279807899Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:58.78926081Z
01HVSD1RGX477EMBTMA5M6ATY5,ended,2024-04-18T20:42:19.902356128Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:05:59.453306492Z,true,2024-04-18T20:05:59.461796185Z,all games finished,2024-04-18T20:42:19.902356128Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:05:59.453306492Z
01HVSD1S4S6ZHHXDK5PG659EZ6,ended,2024-04-18T20:47:36.031419989Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:00.089373349Z,true,2024-04-18T20:06:00.096832231Z,all games finished,2024-04-18T20:47:36.031419989Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:00.089373349Z
01HVSD1SSZAG2FN4X4FYR63VHE,ended,2024-04-18T20:50:56.900331861Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:00.767257443Z,true,2024-04-18T20:06:00.77515026Z,all games finished,2024-04-18T20:50:56.900331861Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:00.767257443Z
01HVSD1TDW1CGXSV582VP16J27,ended,2024-04-18T20:52:15.390525771Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:01.404553393Z,true,2024-04-18T20:06:01.414324399Z,all games finished,2024-04-18T20:52:15.390525771Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:01.404553393Z
01HVSD1V2QWYJQSWRS1DP618TV,ended,2024-04-18T20:54:25.891461904Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:02.071315306Z,true,2024-04-18T20:06:02.079831402Z,all games finished,2024-04-18T20:54:25.891461904Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:02.071315306Z
01HVSD1VS8PZYWW9M5D1EJJAZ3,ended,2024-04-18T20:59:08.700838332Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:02.792513185Z,true,2024-04-18T20:06:02.803836631Z,all games finished,2024-04-18T20:59:08.700838332Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:02.792513185Z
01HVSD1WCZBH2QVM9D2K88EZ9D,ended,2024-04-18T20:59:10.89446426Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:03.42367328Z,true,2024-04-18T20:06:03.433910769Z,all games finished,2024-04-18T20:59:10.89446426Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:03.42367328Z
01HVSD1X2YK1WG1AR4KQ4KGV1W,ended,2024-04-18T21:03:56.116022705Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:04.126866434Z,true,2024-04-18T20:06:04.136655502Z,all games finished,2024-04-18T21:03:56.116022705Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:04.126866434Z
01HVSD1XSYNBPZ6N98Y2K1CDDD,ended,2024-04-18T21:02:43.381579599Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:06:04.862869037Z,true,2024-04-18T20:06:04.871030216Z,all games finished,2024-04-18T21:02:43.381579599Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:06:04.862869037Z
01HVSE1V6DE99TTN2NBSZ5YVAJ,ended,2024-04-18T21:04:30.294066128Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:23:30.765060981Z,true,2024-04-18T20:23:30.776914494Z,all games finished,2024-04-18T21:04:30.294066128Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-interactive- 0.7"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-04-18T20:23:30.765060981Z
01HVSEFHG96EEYMPKWPSP831GD,terminated,2024-04-18T21:18:06.760200047Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:30:59.593283841Z,true,2024-04-18T20:30:59.626619615Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-18T20:30:59.593283841Z
01HVSEH4K4WTW4P1SMZP39Z5AP,created,2024-04-18T20:31:51.908898269Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:31:51.908898269Z,true,2024-04-18T20:31:51.981175461Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-18T20:31:51.908898269Z
01HVSEH5S3DBQWJT8DJ5GE2ECE,created,2024-04-18T20:31:53.123752301Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2024-04-18T20:31:53.123752301Z,true,2024-04-18T20:31:53.178606776Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""rerun-unidirectional- 0.7"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""rerun-unidirectional- 0.3"",""factors"":{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""rerun-slider- 0.3"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1},{""treatment"":{""name"":""rerun-slider- 0.7"",""factors"":{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""rerun-interactive-0.3"",""factors"":{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-04-18T20:31:53.123752301Z
