id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JGQ04XATFBPVQBXX123ZVVMD,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:11:40.634429881Z,30,2025-01-03T21:11:40.634429881Z,true,2025-01-03T21:15:41.749507903Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:11:40.634429881Z,0,2025-01-03T21:11:40.634429881Z,true,2025-01-03T21:15:11.734154245Z,observe,2025-01-03T21:11:40.634429881Z,01JGQ04X8RCSCJMGQRWQTNW713,2025-01-03T21:11:40.634429881Z,true,2025-01-03T21:15:11.705150134Z,true,2025-01-03T21:15:11.74616485Z,01JGQ04XAJF0TN3EP04CYZCZ0Q,2025-01-03T21:11:40.634429881Z
01JGQ0B3H600QVK9BYAHVWMRY0,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:15:03.590891972Z,30,2025-01-03T21:15:03.590891972Z,true,2025-01-03T21:18:26.037079249Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:15:03.590891972Z,0,2025-01-03T21:15:03.590891972Z,true,2025-01-03T21:18:07.025724978Z,observe,2025-01-03T21:15:03.590891972Z,01JGQ0B3DA57XQNGXEYCK06HKN,2025-01-03T21:15:03.590891972Z,true,2025-01-03T21:18:06.999120877Z,true,2025-01-03T21:18:07.037050168Z,01JGQ0B3E62AAJN2G55CFR4QSZ,2025-01-03T21:15:03.590891972Z
01JGQ0B3J1GPSSXYFF912G8EJ1,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:15:03.617202757Z,30,2025-01-03T21:15:03.617202757Z,true,2025-01-03T21:18:06.930066335Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:15:03.617202757Z,0,2025-01-03T21:15:03.617202757Z,true,2025-01-03T21:17:49.38576768Z,observe,2025-01-03T21:15:03.617202757Z,01JGQ0B3DCA8VZZ0K83XCQFPE2,2025-01-03T21:15:03.617202757Z,true,2025-01-03T21:17:49.358644517Z,true,2025-01-03T21:17:49.401121018Z,01JGQ0B3GC245HMMQZXHSY5N63,2025-01-03T21:15:03.617202757Z
01JGQ0B3J5YQSMAN90KHFBB5C1,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:15:03.621819175Z,30,2025-01-03T21:15:03.621819175Z,true,2025-01-03T21:17:24.907841128Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:15:03.621819175Z,0,2025-01-03T21:15:03.621819175Z,true,2025-01-03T21:17:01.679978499Z,observe,2025-01-03T21:15:03.621819175Z,01JGQ0B3DQ46XNAV02WJCDGY4V,2025-01-03T21:15:03.621819175Z,true,2025-01-03T21:17:01.625885843Z,true,2025-01-03T21:17:01.703826012Z,01JGQ0B3GD5BJVKV62TGWY1FAW,2025-01-03T21:15:03.621819175Z
01JGQ0X97BBMTHA4X42XZ8DW9V,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:24:59.243236391Z,30,2025-01-03T21:24:59.243236391Z,true,2025-01-03T21:27:29.250691429Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:24:59.243236391Z,0,2025-01-03T21:24:59.243236391Z,true,2025-01-03T21:27:14.296434277Z,observe,2025-01-03T21:24:59.243236391Z,01JGQ0X95F207YNDH053RGNWSG,2025-01-03T21:24:59.243236391Z,true,2025-01-03T21:27:14.259772743Z,true,2025-01-03T21:27:14.309844534Z,01JGQ0X96EM9VH2WCBDJASE0T5,2025-01-03T21:24:59.243236391Z
01JGQ12QX37CR0F4N8DQ5HFTNC,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:27:58.11569592Z,30,2025-01-03T21:27:58.11569592Z,true,2025-01-03T21:28:28.416454772Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:27:58.11569592Z,0,2025-01-03T21:27:58.11569592Z,true,2025-01-03T21:27:58.401607829Z,looking at your yard,2025-01-03T21:27:58.11569592Z,01JGQ12QTTNNB6JWK8HT92H4YQ,2025-01-03T21:27:58.11569592Z,true,2025-01-03T21:27:58.369512641Z,true,2025-01-03T21:27:58.412809275Z,01JGQ12QVD4JKV9VTKHY94HG7T,2025-01-03T21:27:58.11569592Z
01JGQ1YW49Z2W0W6HKHNBSD7NF,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:43:19.945993626Z,30,2025-01-03T21:43:19.945993626Z,true,2025-01-03T21:45:58.795977858Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:43:19.945993626Z,0,2025-01-03T21:43:19.945993626Z,true,2025-01-03T21:45:39.186493493Z,observe,2025-01-03T21:43:19.945993626Z,01JGQ1YW2RRRHHV3MAGH6SHQH9,2025-01-03T21:43:19.945993626Z,true,2025-01-03T21:45:39.138805576Z,true,2025-01-03T21:45:39.203974657Z,01JGQ1YW3KCRFBXV9DBHKSR37V,2025-01-03T21:43:19.945993626Z
01JGQ04XB56VCV3370FH4NATN2,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:11:40.645513627Z,30,2025-01-03T21:11:40.645513627Z,true,2025-01-03T21:15:11.643265958Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:11:40.645513627Z,0,2025-01-03T21:11:40.645513627Z,true,2025-01-03T21:14:41.627401831Z,observe,2025-01-03T21:11:40.645513627Z,01JGQ04X8Q27NF8JQ1AC0AAWA0,2025-01-03T21:11:40.645513627Z,true,2025-01-03T21:14:41.603922851Z,true,2025-01-03T21:14:41.641137148Z,01JGQ04XANMA6C9TAC0TDD6RVK,2025-01-03T21:11:40.645513627Z
01JGQ0B3G2Y3TWZC24VPM0VN0Q,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:15:03.554580385Z,30,2025-01-03T21:15:03.554580385Z,true,2025-01-03T21:17:49.282305496Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:15:03.554580385Z,0,2025-01-03T21:15:03.554580385Z,true,2025-01-03T21:17:25.023868515Z,observe,2025-01-03T21:15:03.554580385Z,01JGQ0B3DE2D00V1FXNVWKDBR7,2025-01-03T21:15:03.554580385Z,true,2025-01-03T21:17:24.983528518Z,true,2025-01-03T21:17:25.047907075Z,01JGQ0B3EPW5PPKQPRT06FPM41,2025-01-03T21:15:03.554580385Z
01JGQ0B3GJCDCZK41TSS6G9WR4,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:15:03.570107557Z,30,2025-01-03T21:15:03.570107557Z,true,2025-01-03T21:17:01.508461838Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:15:03.570107557Z,0,2025-01-03T21:15:03.570107557Z,true,2025-01-03T21:16:34.263305814Z,observe,2025-01-03T21:15:03.570107557Z,01JGQ0B3CYD51ZK7HACCZV92VH,2025-01-03T21:15:03.570107557Z,true,2025-01-03T21:16:34.23559349Z,true,2025-01-03T21:16:34.276202872Z,01JGQ0B3DV5A409RAS633T1TC6,2025-01-03T21:15:03.570107557Z
01JGQ0X98MTVJ8R684EXTNPNQQ,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:24:59.284870248Z,30,2025-01-03T21:24:59.284870248Z,true,2025-01-03T21:26:38.155386596Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:24:59.284870248Z,0,2025-01-03T21:24:59.284870248Z,true,2025-01-03T21:26:12.890750035Z,observe,2025-01-03T21:24:59.284870248Z,01JGQ0X95KJJ17QR7XPETRDYWE,2025-01-03T21:24:59.284870248Z,true,2025-01-03T21:26:12.854794042Z,true,2025-01-03T21:26:12.90334148Z,01JGQ0X97TDYEHYR1JFAW7QV1H,2025-01-03T21:24:59.284870248Z
01JGQ0X9945DMYSXXY3DAK5T2G,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:24:59.300125464Z,30,2025-01-03T21:24:59.300125464Z,true,2025-01-03T21:27:59.738865825Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:24:59.300125464Z,0,2025-01-03T21:24:59.300125464Z,true,2025-01-03T21:27:44.027379381Z,observe,2025-01-03T21:24:59.300125464Z,01JGQ0X95VF9EE55RX4M9J24AZ,2025-01-03T21:24:59.300125464Z,true,2025-01-03T21:27:43.995827514Z,true,2025-01-03T21:27:44.040990742Z,01JGQ0X9882CGR0BFGX3RWDR9P,2025-01-03T21:24:59.300125464Z
01JGQ0X9BM7R9B0K1P3TJ10NCW,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:24:59.380944465Z,30,2025-01-03T21:24:59.380944465Z,true,2025-01-03T21:25:29.62978923Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:24:59.380944465Z,0,2025-01-03T21:24:59.380944465Z,true,2025-01-03T21:24:59.609479428Z,looking at your yard,2025-01-03T21:24:59.380944465Z,01JGQ0X95CC0HHA9EHCRKJBGJP,2025-01-03T21:24:59.380944465Z,true,2025-01-03T21:24:59.576231954Z,true,2025-01-03T21:24:59.622719767Z,01JGQ0X95ZK1XD4PKYH8WDP4PY,2025-01-03T21:24:59.380944465Z
01JGQ0X97MTXDGSPWK2EP0P5MT,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:24:59.253010202Z,30,2025-01-03T21:24:59.253010202Z,true,2025-01-03T21:26:54.280553788Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:24:59.253010202Z,0,2025-01-03T21:24:59.253010202Z,true,2025-01-03T21:26:38.260074982Z,observe,2025-01-03T21:24:59.253010202Z,01JGQ0X95MR639AGYNAC5F7X2T,2025-01-03T21:24:59.253010202Z,true,2025-01-03T21:26:38.229258079Z,true,2025-01-03T21:26:38.27541488Z,01JGQ0X96G8856VNTW28CX0W7N,2025-01-03T21:24:59.253010202Z
01JGQ1YW56Z07XKKMR02N4WPYK,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:43:19.974908196Z,30,2025-01-03T21:43:19.974908196Z,true,2025-01-03T21:45:01.436926383Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:43:19.974908196Z,0,2025-01-03T21:43:19.974908196Z,true,2025-01-03T21:44:38.190111438Z,observe,2025-01-03T21:43:19.974908196Z,01JGQ1YW2FD50RSKQS1VYX0VRJ,2025-01-03T21:43:19.974908196Z,true,2025-01-03T21:44:38.152726857Z,true,2025-01-03T21:44:38.209107981Z,01JGQ1YW33KYTV9ZER2END1GE7,2025-01-03T21:43:19.974908196Z
01JGQ1YW8XQ8CVSTJWQK1TTE0B,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:43:20.093415135Z,30,2025-01-03T21:43:20.093415135Z,true,2025-01-03T21:46:25.267510523Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:43:20.093415135Z,0,2025-01-03T21:43:20.093415135Z,true,2025-01-03T21:45:58.925391739Z,observe,2025-01-03T21:43:20.093415135Z,01JGQ1YW2PX0WFBKTVSN5KC68A,2025-01-03T21:43:20.093415135Z,true,2025-01-03T21:45:58.886073489Z,true,2025-01-03T21:45:58.945860684Z,01JGQ1YW4TAKR6RN5CQRWWBDFT,2025-01-03T21:43:20.093415135Z
01JGQ04XAXZ9E52TGRQF1YS263,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:11:40.637918312Z,30,2025-01-03T21:11:40.637918312Z,true,2025-01-03T21:12:10.983682871Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:11:40.637918312Z,0,2025-01-03T21:11:40.637918312Z,true,2025-01-03T21:11:40.960731067Z,looking at your yard,2025-01-03T21:11:40.637918312Z,01JGQ04X81JXY0KDRB232S2JFW,2025-01-03T21:11:40.637918312Z,true,2025-01-03T21:11:40.915644875Z,true,2025-01-03T21:11:40.976891334Z,01JGQ04X8MDQ7J32E2TD0ZSRFW,2025-01-03T21:11:40.637918312Z
01JGQ04XAYYSE45CWKSHXWMVX5,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:11:40.638811896Z,30,2025-01-03T21:11:40.638811896Z,true,2025-01-03T21:12:41.047909199Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:11:40.638811896Z,1,2025-01-03T21:11:40.638811896Z,true,2025-01-03T21:12:11.031181064Z,observe,2025-01-03T21:11:40.638811896Z,01JGQ04X81JXY0KDRB232S2JFW,2025-01-03T21:11:40.638811896Z,true,2025-01-03T21:12:10.997386355Z,true,2025-01-03T21:12:11.045043598Z,01JGQ04X8YHVRVCREN15REFSMB,2025-01-03T21:11:40.638811896Z
01JGQ0Q56W6666E93G00VJZX88,01JGQ09HBX8MC4DGNHX3FZ8EDY,2025-01-03T21:21:38.524154376Z,30,2025-01-03T21:21:38.524154376Z,true,2025-01-03T21:25:36.036946231Z,01JGQ09HCAQGMY5WGVV276K2K7,2025-01-03T21:21:38.524154376Z,0,2025-01-03T21:21:38.524154376Z,true,2025-01-03T21:25:07.023371602Z,observe,2025-01-03T21:21:38.524154376Z,01JGQ0Q55HHN8FSWP53GMPVKD9,2025-01-03T21:21:38.524154376Z,true,2025-01-03T21:25:06.952979163Z,true,2025-01-03T21:25:07.04061661Z,01JGQ0Q564DDCQ7PCT4FVYKYVK,2025-01-03T21:21:38.524154376Z
01JGQ0X98VN2EY2JBPCVADTQR7,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:24:59.291512875Z,30,2025-01-03T21:24:59.291512875Z,true,2025-01-03T21:26:12.778082594Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:24:59.291512875Z,0,2025-01-03T21:24:59.291512875Z,true,2025-01-03T21:25:51.766009886Z,observe,2025-01-03T21:24:59.291512875Z,01JGQ0X95Q15GZQNNAAAVFJ3JS,2025-01-03T21:24:59.291512875Z,true,2025-01-03T21:25:51.729230936Z,true,2025-01-03T21:25:51.778413035Z,01JGQ0X986VN57V2T7FXAFVVM0,2025-01-03T21:24:59.291512875Z
01JGQ12QXZ86SWSQJ0696SVNFS,01JGQ0C7ETEFBZD4VJK84VZHCX,2025-01-03T21:27:58.143074959Z,30,2025-01-03T21:27:58.143074959Z,true,2025-01-03T21:30:37.539876091Z,01JGQ0C7F7RS6KD043DRQ14HW4,2025-01-03T21:27:58.143074959Z,0,2025-01-03T21:27:58.143074959Z,true,2025-01-03T21:30:17.672155333Z,observe,2025-01-03T21:27:58.143074959Z,01JGQ12QTZ8RA7AHB8SET5390F,2025-01-03T21:27:58.143074959Z,true,2025-01-03T21:30:17.642996054Z,true,2025-01-03T21:30:17.686592588Z,01JGQ12QWXMNFJN86A3T0WF3WR,2025-01-03T21:27:58.143074959Z
01JGQ1YW4EEC3FYS7FMFXA3XCS,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:43:19.950295187Z,30,2025-01-03T21:43:19.950295187Z,true,2025-01-03T21:43:50.332587569Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:43:19.950295187Z,0,2025-01-03T21:43:19.950295187Z,true,2025-01-03T21:43:20.313059499Z,looking at your yard,2025-01-03T21:43:19.950295187Z,01JGQ1YW22CC7CH4RRQPN6FTE9,2025-01-03T21:43:19.950295187Z,true,2025-01-03T21:43:20.260518119Z,true,2025-01-03T21:43:20.328557431Z,01JGQ1YW2Y8GP33Y9K79X4QVM2,2025-01-03T21:43:19.950295187Z
01JGQ0X9BJGFDWTR467B2THXHV,01JGQ0C849F94EV3HQD9RE40JS,2025-01-03T21:24:59.378655081Z,30,2025-01-03T21:24:59.378655081Z,true,2025-01-03T21:27:43.918143477Z,01JGQ0C84J0QJJZJ4NFSFVRA5T,2025-01-03T21:24:59.378655081Z,0,2025-01-03T21:24:59.378655081Z,true,2025-01-03T21:27:29.381996478Z,observe,2025-01-03T21:24:59.378655081Z,01JGQ0X95GD32YNB7VFN5C9K62,2025-01-03T21:24:59.378655081Z,true,2025-01-03T21:27:29.34763802Z,true,2025-01-03T21:27:29.397329285Z,01JGQ0X98EE968HP8CDXBFE11N,2025-01-03T21:24:59.378655081Z
01JGQ1YW4HC15YKMT7QADF8CC8,01JGQ1F3BN8EC002R2C6SDZHA8,2025-01-03T21:43:19.953563388Z,30,2025-01-03T21:43:19.953563388Z,true,2025-01-03T21:44:09.958160032Z,01JGQ1F3C4DVPQMKEVJM2J69Y3,2025-01-03T21:43:19.953563388Z,1,2025-01-03T21:43:19.953563388Z,true,2025-01-03T21:43:50.384039745Z,observe,2025-01-03T21:43:19.953563388Z,01JGQ1YW22CC7CH4RRQPN6FTE9,2025-01-03T21:43:19.953563388Z,true,2025-01-03T21:43:50.347904979Z,true,2025-01-03T21:43:50.397338052Z,01JGQ1YW3KCRFBXV9DBJG8JSYC,2025-01-03T21:43:19.953563388Z
01JGQ04XB27S87H2HA7CNE955V,01JGPZ7DS26HBF8BHY8DZZHA96,2025-01-03T21:11:40.642761233Z,30,2025-01-03T21:11:40.642761233Z,true,2025-01-03T21:14:41.543594205Z,01JGPZ7DST3QHP58DW1G013V4K,2025-01-03T21:11:40.642761233Z,0,2025-01-03T21:11:40.642761233Z,true,2025-01-03T21:14:11.524445629Z,observe,2025-01-03T21:11:40.642761233Z,01JGQ04X8S6DPYE9QCR43KZX51,2025-01-03T21:11:40.642761233Z,true,2025-01-03T21:14:11.493902511Z,true,2025-01-03T21:14:11.540290538Z,01JGQ04XAMX7B81QG3104Q47PS,2025-01-03T21:11:40.642761233Z
01JGQ0B3HR0S6M9721TMQZWP6W,01JGQ02DY4Q8SKCPFS9SM3QK03,2025-01-03T21:15:03.609005799Z,30,2025-01-03T21:15:03.609005799Z,true,2025-01-03T21:18:48.272411197Z,01JGQ02DYKMTB890CVSBZ0JJ03,2025-01-03T21:15:03.609005799Z,0,2025-01-03T21:15:03.609005799Z,true,2025-01-03T21:18:26.127347482Z,observe,2025-01-03T21:15:03.609005799Z,01JGQ0B3D9MT63TKFK87V1C9CG,2025-01-03T21:15:03.609005799Z,true,2025-01-03T21:18:26.10140398Z,true,2025-01-03T21:18:26.139869084Z,01JGQ0B3GA949QE3RSVGWDVW5C,2025-01-03T21:15:03.609005799Z
