Time Step,Agent 1,Agent 2,Agent 3,Agent 4,Group
Time Step 1,6.0,3.0,7.0,4.0,1
Time Step 2,4.5,4.5,5.5,5.5,1
Time Step 3,5.0,5.0,5.0,5.0,1
Time Step 4,5.0,5.0,5.0,5.0,1
Time Step 5,5.0,5.0,5.0,5.0,1
Time Step 6,5.0,5.0,5.0,5.0,1
Time Step 7,5.0,5.0,5.0,5.0,1
Time Step 8,5.0,5.0,5.0,5.0,1
Time Step 9,5.0,5.0,5.0,5.0,1
Time Step 1,7.0,7.0,5.0,5.0,2
Time Step 2,7.0,7.0,5.0,5.0,2
Time Step 3,6.0,6.0,6.0,6.0,2
Time Step 4,6.0,6.0,6.0,6.0,2
Time Step 5,6.0,6.0,6.0,6.0,2
Time Step 6,6.0,6.0,6.0,6.0,2
Time Step 7,6.0,6.0,6.0,6.0,2
Time Step 8,6.0,6.0,6.0,6.0,2
Time Step 9,6.0,6.0,6.0,6.0,2
Time Step 1,6.0,4.0,6.0,5.0,3
Time Step 2,5.0,5.0,5.5,5.5,3
Time Step 3,5.25,5.25,5.25,5.25,3
Time Step 4,5.25,5.25,5.25,5.25,3
Time Step 5,5.25,5.25,5.25,5.25,3
Time Step 6,5.25,5.25,5.25,5.25,3
Time Step 7,5.25,5.25,5.25,5.25,3
Time Step 8,5.25,5.25,5.25,5.25,3
Time Step 9,5.25,5.25,5.25,5.25,3
Time Step 1,4.0,8.0,6.0,7.0,4
Time Step 2,6.0,6.0,6.5,6.5,4
Time Step 3,6.25,6.25,6.25,6.25,4
Time Step 4,6.25,6.25,6.25,6.25,4
Time Step 5,6.25,6.25,6.25,6.25,4
Time Step 6,6.25,6.25,6.25,6.25,4
Time Step 7,6.25,6.25,6.25,6.25,4
Time Step 8,6.25,6.25,6.25,6.25,4
Time Step 9,6.25,6.25,6.25,6.25,4
Time Step 1,5.0,8.0,6.0,8.0,5
Time Step 2,6.5,6.5,7.0,7.0,5
Time Step 3,6.75,6.75,6.75,6.75,5
Time Step 4,6.75,6.75,6.75,6.75,5
Time Step 5,6.75,6.75,6.75,6.75,5
Time Step 6,6.75,6.75,6.75,6.75,5
Time Step 7,6.75,6.75,6.75,6.75,5
Time Step 8,6.75,6.75,6.75,6.75,5
Time Step 9,6.75,6.75,6.75,6.75,5
Time Step 1,6.0,5.0,7.0,8.0,6
Time Step 2,5.5,5.5,7.5,7.5,6
Time Step 3,6.5,6.5,6.5,6.5,6
Time Step 4,6.5,6.5,6.5,6.5,6
Time Step 5,6.5,6.5,6.5,6.5,6
Time Step 6,6.5,6.5,6.5,6.5,6
Time Step 7,6.5,6.5,6.5,6.5,6
Time Step 8,6.5,6.5,6.5,6.5,6
Time Step 9,6.5,6.5,6.5,6.5,6
Time Step 1,8.0,9.0,8.0,7.0,7
Time Step 2,8.5,8.5,7.5,7.5,7
Time Step 3,8.0,8.0,8.0,8.0,7
Time Step 4,8.0,8.0,8.0,8.0,7
Time Step 5,8.0,8.0,8.0,8.0,7
Time Step 6,8.0,8.0,8.0,8.0,7
Time Step 7,8.0,8.0,8.0,8.0,7
Time Step 8,8.0,8.0,8.0,8.0,7
Time Step 9,8.0,8.0,8.0,8.0,7
Time Step 1,4.0,6.0,7.0,8.0,8
Time Step 2,5.0,5.0,7.5,7.5,8
Time Step 3,6.25,6.25,6.25,6.25,8
Time Step 4,6.25,6.25,6.25,6.25,8
Time Step 5,6.25,6.25,6.25,6.25,8
Time Step 6,6.25,6.25,6.25,6.25,8
Time Step 7,6.25,6.25,6.25,6.25,8
Time Step 8,6.25,6.25,6.25,6.25,8
Time Step 9,6.25,6.25,6.25,6.25,8
Time Step 1,5.0,7.0,7.0,7.0,9
Time Step 2,6.0,6.0,7.0,7.0,9
Time Step 3,6.5,6.5,6.5,6.5,9
Time Step 4,6.5,6.5,6.5,6.5,9
Time Step 5,6.5,6.5,6.5,6.5,9
Time Step 6,6.5,6.5,6.5,6.5,9
Time Step 7,6.5,6.5,6.5,6.5,9
Time Step 8,6.5,6.5,6.5,6.5,9
Time Step 9,6.5,6.5,6.5,6.5,9
Time Step 1,6.0,5.0,6.0,9.0,10
Time Step 2,5.5,5.5,7.5,7.5,10
Time Step 3,6.5,6.5,6.5,6.5,10
Time Step 4,6.5,6.5,6.5,6.5,10
Time Step 5,6.5,6.5,6.5,6.5,10
Time Step 6,6.5,6.5,6.5,6.5,10
Time Step 7,6.5,6.5,6.5,6.5,10
Time Step 8,6.5,6.5,6.5,6.5,10
Time Step 9,6.5,6.5,6.5,6.5,10
Time Step 1,6.0,7.0,4.0,4.0,11
Time Step 2,6.5,6.5,4.0,4.0,11
Time Step 3,5.25,5.25,5.25,5.25,11
Time Step 4,5.25,5.25,5.25,5.25,11
Time Step 5,5.25,5.25,5.25,5.25,11
Time Step 6,5.25,5.25,5.25,5.25,11
Time Step 7,5.25,5.25,5.25,5.25,11
Time Step 8,5.25,5.25,5.25,5.25,11
Time Step 9,5.25,5.25,5.25,5.25,11
Time Step 1,7.0,5.0,5.0,7.0,12
Time Step 2,6.0,6.0,6.0,6.0,12
Time Step 3,6.0,6.0,6.0,6.0,12
Time Step 4,6.0,6.0,6.0,6.0,12
Time Step 5,6.0,6.0,6.0,6.0,12
Time Step 6,6.0,6.0,6.0,6.0,12
Time Step 7,6.0,6.0,6.0,6.0,12
Time Step 8,6.0,6.0,6.0,6.0,12
Time Step 9,6.0,6.0,6.0,6.0,12
Time Step 1,7.0,7.0,6.0,4.0,13
Time Step 2,7.0,7.0,5.0,5.0,13
Time Step 3,6.0,6.0,6.0,6.0,13
Time Step 4,6.0,6.0,6.0,6.0,13
Time Step 5,6.0,6.0,6.0,6.0,13
Time Step 6,6.0,6.0,6.0,6.0,13
Time Step 7,6.0,6.0,6.0,6.0,13
Time Step 8,6.0,6.0,6.0,6.0,13
Time Step 9,6.0,6.0,6.0,6.0,13
Time Step 1,6.0,7.0,5.0,6.0,14
Time Step 2,6.5,6.5,5.5,5.5,14
Time Step 3,6.0,6.0,6.0,6.0,14
Time Step 4,6.0,6.0,6.0,6.0,14
Time Step 5,6.0,6.0,6.0,6.0,14
Time Step 6,6.0,6.0,6.0,6.0,14
Time Step 7,6.0,6.0,6.0,6.0,14
Time Step 8,6.0,6.0,6.0,6.0,14
Time Step 9,6.0,6.0,6.0,6.0,14
Time Step 1,9.0,8.0,6.0,7.0,15
Time Step 2,8.5,8.5,6.5,6.5,15
Time Step 3,7.5,7.5,7.5,7.5,15
Time Step 4,7.5,7.5,7.5,7.5,15
Time Step 5,7.5,7.5,7.5,7.5,15
Time Step 6,7.5,7.5,7.5,7.5,15
Time Step 7,7.5,7.5,7.5,7.5,15
Time Step 8,7.5,7.5,7.5,7.5,15
Time Step 9,7.5,7.5,7.5,7.5,15
Time Step 1,4.0,7.0,7.0,4.0,16
Time Step 2,5.5,5.5,5.5,5.5,16
Time Step 3,5.5,5.5,5.5,5.5,16
Time Step 4,5.5,5.5,5.5,5.5,16
Time Step 5,5.5,5.5,5.5,5.5,16
Time Step 6,5.5,5.5,5.5,5.5,16
Time Step 7,5.5,5.5,5.5,5.5,16
Time Step 8,5.5,5.5,5.5,5.5,16
Time Step 9,5.5,5.5,5.5,5.5,16
Time Step 1,6.0,6.0,7.0,6.0,17
Time Step 2,6.0,6.0,6.5,6.5,17
Time Step 3,6.25,6.25,6.25,6.25,17
Time Step 4,6.25,6.25,6.25,6.25,17
Time Step 5,6.25,6.25,6.25,6.25,17
Time Step 6,6.25,6.25,6.25,6.25,17
Time Step 7,6.25,6.25,6.25,6.25,17
Time Step 8,6.25,6.25,6.25,6.25,17
Time Step 9,6.25,6.25,6.25,6.25,17
Time Step 1,5.0,9.0,7.0,6.0,18
Time Step 2,7.0,7.0,6.5,6.5,18
Time Step 3,6.75,6.75,6.75,6.75,18
Time Step 4,6.75,6.75,6.75,6.75,18
Time Step 5,6.75,6.75,6.75,6.75,18
Time Step 6,6.75,6.75,6.75,6.75,18
Time Step 7,6.75,6.75,6.75,6.75,18
Time Step 8,6.75,6.75,6.75,6.75,18
Time Step 9,6.75,6.75,6.75,6.75,18
Time Step 1,8.0,7.0,7.0,8.0,19
Time Step 2,7.5,7.5,7.5,7.5,19
Time Step 3,7.5,7.5,7.5,7.5,19
Time Step 4,7.5,7.5,7.5,7.5,19
Time Step 5,7.5,7.5,7.5,7.5,19
Time Step 6,7.5,7.5,7.5,7.5,19
Time Step 7,7.5,7.5,7.5,7.5,19
Time Step 8,7.5,7.5,7.5,7.5,19
Time Step 9,7.5,7.5,7.5,7.5,19
Time Step 1,4.0,9.0,3.0,4.0,20
Time Step 2,6.5,6.5,3.5,3.5,20
Time Step 3,5.0,5.0,5.0,5.0,20
Time Step 4,5.0,5.0,5.0,5.0,20
Time Step 5,5.0,5.0,5.0,5.0,20
Time Step 6,5.0,5.0,5.0,5.0,20
Time Step 7,5.0,5.0,5.0,5.0,20
Time Step 8,5.0,5.0,5.0,5.0,20
Time Step 9,5.0,5.0,5.0,5.0,20
